a 4th grader,4年生
a few,少しの
a great deal of -,大量の
a host of,多数の、大勢の
a hundred -,多数の～
a modicum of,少量の
able,才能のある, 有能な
about,～について
act,行動する，を演じる
accent,アクセント、強調
accept,受け入れる、認める
accordingly,それに応じて; それ故
account,計算、記述
accoutrement,装飾具
accuracy,正確さ
ache,痛み
acknowledge,認める
across,横切る
address,挨拶する、提出・言及する
adhere to,～に固執する
adjective,形容詞
admission,入場、許可、承認
admix,混合する
advance,進める; 昇進させる; （時期を）早める; 促進［推進］する
advertisement,広告
afraid,恐れて
affect,影響する、振りをする
after,～の後に
again,再び
age,年令，老齢，時代
ago,以前に、前に
agree,同意する、意見が一致する
alarm,驚き、警告
all,全ての
alongside,並んで
already,すでに
also,～も,又
alter,かえる
always,いつも
amuse,楽しませる
anatomically,解剖学的に
ancient,古代の
ancestor,祖先、先祖
and so forth,など
animal,動物
ankle,足首
announce,知らせる、示す、発表する
another,他の
answer,答える
apparatus,器具、装置
appeal,アピールする、訴える
appreciation,感謝
appropriation,占有
approve,是認する
april,四月
arm,腕
arrival,到着
article,記事、品物、冠詞
artifactual,人工的な、人工物の
as regards -,～に関しては
ask,聞く、尋ねる
aspect,様相、見方、見地
assent,同意する
assume,任務を引き受ける、～と考える、振りをする
at,ーで/に（場所）、～において
at once,すぐに、同時に
attach,付ける、とりつける
attend,出席する
attention,注目
attraction,魅力
auditorium,講堂
auditory,聴覚の
august,八月
aunt,叔母
avenue,大通り
automobile,自動車
away,離れて
backward,後方へ
back,後ろに
bad,悪い
bakery,パン屋
bald,はげた
ballet,バレエ
basis,基礎、論拠、根拠
be accustomed to,～に慣れている
be apt to do,～しがちである
be caught in,雨にあう
be composed of,～から構成されている
be correlate with,～関連している
be different from,～と異なっている
be good for,役に立つ
be well off,暮らし向きの良い
bee,ミツバチ
beam,光、光線
bear,生む
beach,浜，磯
beautiful,美しい
because,～なので
become,～になる
before,～の前に
begin to,～し始める
behalf,利益
belong,～に属する
beneath,下方に; すぐ下に; 劣って
between,～の間に
big,大きい
bird,鳥
blood,血，血気
black,黒い
blue,青い
boast,自慢する
boat,ボート
boil,沸かす,煮る
book,本
bored,退屈な
both A and B,AもBも両方とも
bother,悩ます、うざく感じる
boundary,境界、限界
bow,おじぎ
box,箱
boy,男の子
brave,勇敢な
breath,息，一息，風のそよぎ
bread,パン
breadth,幅
break,～を壊す
break off,中断する
breakfast,朝食
breed,生む
bridge,橋
bridegroom,新郎さん
briefly,簡単に
brightly,明るく，あざやかに
bring,持ってくる、連れて来る
bronze,青銅
brother,兄弟
bubble,泡
build,建てる
building,建設物
bunch,ふさ、束
bundle,包む
bus,バス
bush,かん木，やぶ
busy,忙しい
but,しかし、が
butcher,肉屋
buy,買う
by accident,偶然に
by contrast,対照的に
by the way,ところで、その過程において
cabin,小屋
call,呼ぶ
call for,必要とする
calm,穏やかな
camp,キャンプ、陣営
cannot refrain from -,～せずにはいられない
canoe,カヌー
cardboard,ボール紙
careless,不注意な
carry,運ぶ
cast,投げかける、投じる; 投げ［脱ぎ］すてる
catch,捕る
cause,引き起こす、もたらす
ceiling,天井
center around -,～に集中する
certainly,確かに、きっと
chair,椅子
chalk,チョーク
chamber,部屋
charm,魅力
cheer,応援する、励ます
cheerful,陽気な，元気のいい
cheese,チーズ
child,子ども
chore,雑用
circumstance,状況、事情
city,町
civic,市民の、都市の
claim,要求する、主張する、占有する
class,学級
classical,古典的な
clause,箇条, 条項
clay,粘土
clean,清潔な
climate,気候、地方、風潮
cloak,（そでなし）外とう, マント, クローク; 仮面; 口実
close,閉じる
cloud,雲
club,クラブ
clue,手がかり、きっかけ、端緒
coach,指導する
coalesce,合体、連合する
coin,貨幣
cold,寒い、冷たい
collect,を集める，集まる
